S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate (Rs),Amount (Rs)
1,2025050801020030,BHL,7,43,22,226.9,4991.8
2,2025050801020029,BHL,7,16,13,226.9,2949.7
3,2025050804052941,NGPL,3,91,100,388.5,38850.0
4,2025050804052940,NGPL,84,91,500,388.9,194450.0
5,2025050804052939,NGPL,19,91,150,389.0,58350.0
6,2025050804052938,NGPL,60,91,15,389.0,5835.0
7,2025050804052937,NGPL,26,91,250,389.0,97250.0
8,2025050804052936,NGPL,13,91,200,389.0,77800.0
9,2025050804052935,NGPL,34,91,200,389.0,77800.0
10,2025050804052934,NGPL,4,91,2220,389.0,863580.0
11,2025050801020028,NYADI,42,38,175,477.3,83527.5
12,2025050801020027,NYADI,85,38,200,477.3,95460.0
13,2025050801020026,NYADI,41,38,1000,477.3,477300.0
14,2025050801020025,NYADI,63,38,50,477.4,23870.0
15,2025050801020024,NYADI,49,38,200,477.5,95500.0
16,2025050801020023,NYADI,49,38,670,477.5,319925.0
17,2025050801020022,BNHC,14,54,150,511.0,76650.0
18,2025050801020021,CKHL,57,58,10,675.0,6750.0
19,2025050801020020,CKHL,59,58,500,675.0,337500.0
20,2025050805015972,HATHY,48,36,100,1265.0,126500.0
21,2025050804052933,SICL,29,58,20,760.0,15200.0
22,2025050805015971,MBJC,45,59,200,320.2,64040.0
23,2025050805015970,NRN,59,45,80,2055.0,164400.0
24,2025050805015969,NRN,59,91,160,2055.0,328800.0
25,2025050805015968,NRN,59,58,30,2055.0,61650.0
26,2025050805015967,NRN,59,25,50,2055.0,102750.0
27,2025050805015966,NRN,59,69,100,2055.0,205500.0
28,2025050805015965,NRN,59,21,14,2055.0,28770.0
29,2025050801020019,NYADI,49,13,330,477.5,157575.0
30,2025050801020018,NYADI,39,13,50,477.6,23880.0
31,2025050805015964,SAHAS,58,37,100,533.7,53370.0
32,2025050805015963,NRIC,42,58,10,1200.0,12000.0
33,2025050805015962,NRIC,45,58,50,1200.0,60000.0
34,2025050805015961,NRIC,6,58,10,1200.0,12000.0
35,2025050805015960,NRIC,5,58,100,1200.0,120000.0
36,2025050805015959,NRIC,38,58,30,1200.0,36000.0
37,2025050805015958,NRIC,45,58,100,1200.0,120000.0
38,2025050805015957,NRIC,50,58,50,1200.0,60000.0
39,2025050805015956,NRIC,80,58,97,1200.0,116400.0
40,2025050805015955,NRIC,41,58,10,1200.5,12005.0
41,2025050805015954,NRIC,42,58,50,1200.5,60025.0
42,2025050805015953,NRIC,58,58,150,1201.0,180150.0
43,2025050804052932,SHPC,45,45,2764,624.0,1724736.0
44,2025050804052931,SHPC,45,34,50,624.0,31200.0
45,2025050804052930,SHPC,45,59,1000,624.0,624000.0
46,2025050804052929,SHPC,45,44,1394,623.0,868462.0
47,2025050804052928,SHPC,45,28,100,622.9,62290.0
48,2025050804052927,SHPC,45,14,550,622.9,342595.0
49,2025050804052926,SHPC,45,4,4000,622.0,2488000.0
50,2025050804052925,SHPC,45,62,100,622.0,62200.0
51,2025050804052924,SHPC,45,50,200,622.0,124400.0
52,2025050804052923,SHPC,45,45,50,622.0,31100.0
53,2025050804052922,SHPC,45,50,200,622.0,124400.0
54,2025050804052921,SHPC,45,16,500,622.0,311000.0
55,2025050804052920,SHPC,45,48,600,622.0,373200.0
56,2025050804052919,SHPC,45,80,800,621.0,496800.0
57,2025050804052918,SHPC,45,50,95,621.0,58995.0
58,2025050804052917,SHPC,45,17,703,620.0,435860.0
59,2025050804052916,SHPC,45,11,266,620.0,164920.0
60,2025050804052915,SHPC,45,71,200,620.0,124000.0
61,2025050804052914,SHPC,45,32,173,620.0,107260.0
62,2025050804052913,SHPC,45,38,210,619.0,129990.0
63,2025050804052912,SHPC,45,95,1045,618.0,645810.0
64,2025050805015952,PHCL,65,37,100,632.0,63200.0
65,2025050803014376,JBBL,45,37,310,329.0,101990.0
66,2025050803014375,SINDU,58,6,42,885.1,37174.2
67,2025050803014374,SINDU,58,6,13,885.1,11506.3
68,2025050803014373,SINDU,56,6,345,885.1,305359.5
69,2025050805015951,NIFRA,60,55,10,286.9,2869.0
70,2025050803014372,EDBL,55,5,71,586.0,41606.0
71,2025050803014371,EDBL,58,5,19,586.0,11134.0
72,2025050803014370,EDBL,58,5,10,586.1,5861.0
73,2025050803014369,GUFL,36,49,10,574.0,5740.0
