S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate (Rs),Amount (Rs)
74,2025050801020017,MBL,16,21,200,217.2,43440.0
75,2025050804052911,PPCL,95,57,20,357.0,7140.0
76,2025050804052910,AKJCL,45,34,92,218.0,20056.0
77,2025050801020016,KBL,32,34,500,201.9,100950.0
78,2025050804052909,AKJCL,58,34,30,218.0,6540.0
79,2025050804052908,AKJCL,21,34,500,218.0,109000.0
80,2025050804052907,AKJCL,38,34,50,218.0,10900.0
81,2025050804052906,AKJCL,52,34,200,218.0,43600.0
82,2025050804052905,AKJCL,42,34,10,218.0,2180.0
83,2025050804052904,AKJCL,51,34,70,218.0,15260.0
84,2025050804052903,AKJCL,57,34,500,218.0,109000.0
85,2025050804052902,AKJCL,50,34,200,218.0,43600.0
86,2025050804052901,AKJCL,51,34,1000,218.1,218100.0
87,2025050804052900,AKJCL,55,34,2000,218.2,436400.0
88,2025050804052899,AKJCL,57,34,848,218.5,185288.0
89,2025050801020015,KBL,32,74,500,201.9,100950.0
90,2025050804052898,CGH,53,54,20,856.5,17130.0
91,2025050804052897,CGH,53,58,697,856.1,596701.7
92,2025050803014368,GILB,67,57,10,1215.0,12150.0
93,2025050803014367,NFS,25,42,10,653.0,6530.0
94,2025050801020014,MKCL,17,39,50,1495.2,74760.0
95,2025050804052896,BARUN,49,8,10,538.0,5380.0
96,2025050801020013,MBL,16,49,90,217.2,19548.0
97,2025050801020012,MBL,14,49,10,218.0,2180.0
98,2025050805015950,SMJC,65,35,102,535.0,54570.0
99,2025050805015949,SMJC,56,35,100,535.0,53500.0
100,2025050805015948,SMJC,22,35,90,535.0,48150.0
