S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate (Rs),Amount (Rs)
104,2025051104041846,BARUN,17,55,100,538.3,53830.0
105,2025051104041845,BARUN,8,55,782,538.6,421185.2
106,2025051104041844,SHL,51,47,100,556.0,55600.0
107,2025051101020937,SPL,7,13,10,838.8,8388.0
108,2025051103012766,PFL,13,38,50,417.0,20850.0
109,2025051103012765,PFL,34,38,20,417.0,8340.0
110,2025051103012764,PFL,35,38,50,417.0,20850.0
111,2025051103012763,PFL,88,38,10,417.1,4171.0
112,2025051105013303,CLI,45,38,90,489.0,44010.0
113,2025051105013302,CLI,17,38,10,489.0,4890.0
114,2025051101020936,GMLI,47,48,20,2579.5,51590.0
115,2025051105013301,CIT,47,5,10,1925.0,19250.0
116,2025051105013300,NTC,4,58,10,870.6,8706.0
117,2025051104041843,UPCL,58,19,100,426.9,42690.0
118,2025051104041842,UPCL,58,57,66,426.9,28175.4
119,2025051105013299,HIDCL,81,57,1000,298.0,298000.0
120,2025051104041841,SHPC,80,45,500,617.0,308500.0
121,2025051104041840,SHPC,80,19,200,617.0,123400.0
122,2025051103012762,GMFIL,55,64,80,480.2,38416.0
123,2025051103012761,GMFIL,22,64,10,482.0,4820.0
124,2025051103012760,GMFIL,21,64,10,482.1,4821.0
125,2025051104041839,NGPL,44,57,150,383.0,57450.0
126,2025051104041838,HURJA,29,57,150,275.2,41280.0
127,2025051101020935,MKHL,94,52,100,722.2,72220.0
128,2025051101020934,MKHL,94,52,150,722.3,108345.0
129,2025051101020933,MKHL,94,52,150,722.4,108360.0
130,2025051101020932,MKHL,94,52,400,723.0,289200.0
131,2025051101020931,MKHL,94,52,100,723.1,72310.0
132,2025051101020930,PRVU,58,52,50,201.1,10055.0
133,2025051101020929,PRVU,32,52,10,201.1,2011.0
134,2025051104041837,NHPC,4,44,100,231.1,23110.0
135,2025051105013298,MBJC,7,51,150,319.2,47880.0
136,2025051105013297,MBJC,58,51,90,319.2,28728.0
137,2025051105013296,PHCL,65,17,300,640.4,192120.0
138,2025051104041836,NLG,17,83,79,788.0,62252.0
139,2025051104041835,AKJCL,38,17,10,214.0,2140.0
140,2025051101020928,NIMB,13,48,900,205.5,184950.0
141,2025051104041834,CHCL,51,48,23,498.6,11467.8
142,2025051104041833,CHCL,11,48,97,498.6,48364.2
143,2025051104041832,CHCL,42,48,80,499.0,39920.0
144,2025051104041831,RIDI,81,45,500,265.2,132600.0
145,2025051104041830,AKJCL,44,67,25,213.1,5327.5
146,2025051105013295,SAHAS,85,67,768,518.1,397900.8
147,2025051105013294,SAHAS,14,67,212,518.1,109837.2
148,2025051105013293,HRL,58,14,31,936.0,29016.0
149,2025051105013292,HRL,11,14,19,936.0,17784.0
150,2025051105013291,HDL,58,21,10,1192.0,11920.0
